delivery_date,delay_days,supplier_rating,transportation_cost,delivery_date_year,delivery_date_month,delivery_date_day,delivery_date_quarter,expected_date_year,expected_date_month,expected_date_day,expected_date_quarter,year,month,day,weekday,week,quarter,is_weekend,delay_days_lag1,delay_days_lag7,supplier_rating_lag1,supplier_rating_lag7,transportation_cost_lag1,transportation_cost_lag7,delivery_date_year_lag1,delivery_date_year_lag7,delivery_date_month_lag1,delivery_date_month_lag7,delivery_date_day_lag1,delivery_date_day_lag7,delivery_date_quarter_lag1,delivery_date_quarter_lag7,expected_date_year_lag1,expected_date_year_lag7,expected_date_month_lag1,expected_date_month_lag7,expected_date_day_lag1,expected_date_day_lag7,expected_date_quarter_lag1,expected_date_quarter_lag7,year_lag1,year_lag7,month_lag1,month_lag7,day_lag1,day_lag7,week_lag1,week_lag7,quarter_lag1,quarter_lag7
2024-01-07,3.0588235294117645,4.235294117647059,2960.705882352941,2024.0,4.588235294117647,1.0,1.8823529411764703,2024.0,3.941176470588236,17.705882352941178,1.7058823529411764,2024,7,1,Monday,27,3,False,3.0588235294117645,3.0588235294117645,4.235294117647059,4.235294117647059,2960.705882352941,2960.705882352941,2024.0,2024.0,4.588235294117647,4.588235294117647,1.0,1.0,1.8823529411764703,1.8823529411764703,2024.0,2024.0,3.941176470588236,3.941176470588236,17.705882352941178,17.705882352941178,1.7058823529411764,1.7058823529411764,2024.0,2024.0,7.0,7.0,1.0,1.0,27.0,27.0,3.0,3.0
2024-02-04,3.8333333333333335,3.591666666666667,3260.333333333333,2024.0,2.6666666666666665,2.0,1.0,2024.0,2.0,18.166666666666668,1.0,2024,4,2,Tuesday,14,2,False,3.0588235294117645,3.0588235294117645,4.235294117647059,4.235294117647059,2960.705882352941,2960.705882352941,2024.0,2024.0,4.588235294117647,4.588235294117647,1.0,1.0,1.8823529411764703,1.8823529411764703,2024.0,2024.0,3.941176470588236,3.941176470588236,17.705882352941178,17.705882352941178,1.7058823529411764,1.7058823529411764,2024.0,2024.0,7.0,7.0,1.0,1.0,27.0,27.0,3.0,3.0
2024-02-11,3.2,3.979333333333333,2428.4666666666667,2024.0,9.466666666666669,2.0,3.6,2024.0,8.933333333333334,15.666666666666666,3.4,2024,11,2,Saturday,44,4,True,3.8333333333333335,3.0588235294117645,3.591666666666667,4.235294117647059,3260.333333333333,2960.705882352941,2024.0,2024.0,2.6666666666666665,4.588235294117647,2.0,1.0,1.0,1.8823529411764703,2024.0,2024.0,2.0,3.941176470588236,18.166666666666668,17.705882352941178,1.0,1.7058823529411764,2024.0,2024.0,4.0,7.0,2.0,1.0,14.0,27.0,2.0,3.0
2024-03-03,1.6666666666666667,3.9266666666666654,3172.333333333333,2024.0,1.6666666666666667,3.0,1.0,2024.0,1.5,6.5,1.0,2024,3,3,Sunday,9,1,True,3.2,3.0588235294117645,3.979333333333333,4.235294117647059,2428.4666666666667,2960.705882352941,2024.0,2024.0,9.466666666666669,4.588235294117647,2.0,1.0,3.6,1.8823529411764703,2024.0,2024.0,8.933333333333334,3.941176470588236,15.666666666666666,17.705882352941178,3.4,1.7058823529411764,2024.0,2024.0,11.0,7.0,2.0,1.0,44.0,27.0,4.0,3.0
2024-03-10,2.090909090909091,3.879090909090909,2257.681818181818,2024.0,6.181818181818182,3.0,2.409090909090909,2024.0,5.818181818181818,11.954545454545457,2.1818181818181817,2024,10,3,Thursday,40,4,False,1.6666666666666667,3.0588235294117645,3.9266666666666654,4.235294117647059,3172.333333333333,2960.705882352941,2024.0,2024.0,1.6666666666666667,4.588235294117647,3.0,1.0,1.0,1.8823529411764703,2024.0,2024.0,1.5,3.941176470588236,6.5,17.705882352941178,1.0,1.7058823529411764,2024.0,2024.0,3.0,7.0,3.0,1.0,9.0,27.0,1.0,3.0
2024-04-07,2.4814814814814814,4.091851851851852,2918.296296296296,2024.0,3.851851851851852,4.0,1.7407407407407407,2024.0,3.6296296296296298,8.407407407407407,1.5555555555555556,2024,7,4,Thursday,27,3,False,2.090909090909091,3.0588235294117645,3.879090909090909,4.235294117647059,2257.681818181818,2960.705882352941,2024.0,2024.0,6.181818181818182,4.588235294117647,3.0,1.0,2.409090909090909,1.8823529411764703,2024.0,2024.0,5.818181818181818,3.941176470588236,11.954545454545457,17.705882352941178,2.1818181818181817,1.7058823529411764,2024.0,2024.0,10.0,7.0,3.0,1.0,40.0,27.0,4.0,3.0
2024-05-05,3.076923076923077,3.813846153846154,2659.846153846154,2024.0,2.3846153846153846,5.0,1.0769230769230769,2024.0,2.076923076923077,11.23076923076923,1.0769230769230769,2024,5,5,Sunday,18,2,True,2.4814814814814814,3.0588235294117645,4.091851851851852,4.235294117647059,2918.296296296296,2960.705882352941,2024.0,2024.0,3.851851851851852,4.588235294117647,4.0,1.0,1.7407407407407407,1.8823529411764703,2024.0,2024.0,3.6296296296296298,3.941176470588236,8.407407407407407,17.705882352941178,1.5555555555555556,1.7058823529411764,2024.0,2024.0,7.0,7.0,4.0,1.0,27.0,27.0,3.0,3.0
2024-05-12,3.6666666666666665,4.2,2738.133333333333,2024.0,9.2,5.0,3.466666666666667,2024.0,8.6,19.4,3.2666666666666666,2024,12,5,Thursday,49,4,False,3.076923076923077,3.0588235294117645,3.813846153846154,4.235294117647059,2659.846153846154,2960.705882352941,2024.0,2024.0,2.3846153846153846,4.588235294117647,5.0,1.0,1.0769230769230769,1.8823529411764703,2024.0,2024.0,2.076923076923077,3.941176470588236,11.23076923076923,17.705882352941178,1.0769230769230769,1.7058823529411764,2024.0,2024.0,5.0,7.0,5.0,1.0,18.0,27.0,2.0,3.0
2024-06-02,2.2857142857142856,4.038571428571428,2742.285714285714,2024.0,1.4285714285714286,6.0,1.0,2024.0,1.4285714285714286,4.428571428571429,1.0,2024,2,6,Tuesday,6,1,False,3.6666666666666665,3.8333333333333335,4.2,3.591666666666667,2738.133333333333,3260.333333333333,2024.0,2024.0,9.2,2.6666666666666665,5.0,2.0,3.466666666666667,1.0,2024.0,2024.0,8.6,2.0,19.4,18.166666666666668,3.2666666666666666,1.0,2024.0,2024.0,12.0,4.0,5.0,2.0,49.0,14.0,4.0,2.0
2024-06-09,3.555555555555556,3.758888888888889,2247.1666666666665,2024.0,6.611111111111111,6.0,2.4444444444444446,2024.0,6.388888888888889,9.5,2.2777777777777777,2024,9,6,Friday,36,3,False,2.2857142857142856,3.2,4.038571428571428,3.979333333333333,2742.285714285714,2428.4666666666667,2024.0,2024.0,1.4285714285714286,9.466666666666669,6.0,2.0,1.0,3.6,2024.0,2024.0,1.4285714285714286,8.933333333333334,4.428571428571429,15.666666666666666,1.0,3.4,2024.0,2024.0,2.0,11.0,6.0,2.0,6.0,44.0,1.0,4.0
2024-07-07,4.055555555555555,3.889444444444445,2509.777777777778,2024.0,3.2222222222222223,7.0,1.4444444444444444,2024.0,3.0,10.444444444444445,1.3888888888888888,2024,7,7,Sunday,27,3,True,3.555555555555556,1.6666666666666667,3.758888888888889,3.9266666666666654,2247.1666666666665,3172.333333333333,2024.0,2024.0,6.611111111111111,1.6666666666666667,6.0,3.0,2.4444444444444446,1.0,2024.0,2024.0,6.388888888888889,1.5,9.5,6.5,2.2777777777777777,1.0,2024.0,2024.0,9.0,3.0,6.0,3.0,36.0,9.0,3.0,1.0
2024-08-04,4.8,4.01,3595.3,2024.0,2.7,8.0,1.2,2024.0,2.7,3.4,1.2,2024,4,8,Monday,15,2,False,4.055555555555555,2.090909090909091,3.889444444444445,3.879090909090909,2509.777777777778,2257.681818181818,2024.0,2024.0,3.2222222222222223,6.181818181818182,7.0,3.0,1.4444444444444444,2.409090909090909,2024.0,2024.0,3.0,5.818181818181818,10.444444444444445,11.954545454545457,1.3888888888888888,2.1818181818181817,2024.0,2024.0,7.0,10.0,7.0,3.0,27.0,40.0,3.0,4.0
2024-08-11,3.869565217391304,3.981739130434783,2399.391304347826,2024.0,9.521739130434783,8.0,3.5217391304347827,2024.0,9.521739130434783,4.521739130434782,3.5217391304347827,2024,11,8,Friday,45,4,False,4.8,2.4814814814814814,4.01,4.091851851851852,3595.3,2918.296296296296,2024.0,2024.0,2.7,3.851851851851852,8.0,4.0,1.2,1.7407407407407407,2024.0,2024.0,2.7,3.6296296296296298,3.4,8.407407407407407,1.2,1.5555555555555556,2024.0,2024.0,4.0,7.0,8.0,4.0,15.0,27.0,2.0,3.0
2024-09-01,2.5,3.9,1901.25,2024.0,1.0,9.0,1.0,2024.0,1.0,6.5,1.0,2024,1,9,Tuesday,2,1,False,3.869565217391304,3.076923076923077,3.981739130434783,3.813846153846154,2399.391304347826,2659.846153846154,2024.0,2024.0,9.521739130434783,2.3846153846153846,8.0,5.0,3.5217391304347827,1.0769230769230769,2024.0,2024.0,9.521739130434783,2.076923076923077,4.521739130434782,11.23076923076923,3.5217391304347827,1.0769230769230769,2024.0,2024.0,11.0,5.0,8.0,5.0,45.0,18.0,4.0,2.0
2024-09-08,3.611111111111111,3.822777777777778,3128.9444444444443,2024.0,4.0,9.0,1.6111111111111112,2024.0,4.0,5.444444444444445,1.6111111111111112,2024,8,9,Friday,32,3,False,2.5,3.6666666666666665,3.9,4.2,1901.25,2738.133333333333,2024.0,2024.0,1.0,9.2,9.0,5.0,1.0,3.466666666666667,2024.0,2024.0,1.0,8.6,6.5,19.4,1.0,3.2666666666666666,2024.0,2024.0,1.0,12.0,9.0,5.0,2.0,49.0,1.0,4.0
2024-10-06,3.4444444444444446,4.266666666666667,2020.3333333333333,2024.0,2.888888888888889,10.0,1.4444444444444444,2024.0,2.888888888888889,7.555555555555555,1.4444444444444444,2024,6,10,Monday,24,2,False,3.611111111111111,2.2857142857142856,3.822777777777778,4.038571428571428,3128.9444444444443,2742.285714285714,2024.0,2024.0,4.0,1.4285714285714286,9.0,6.0,1.6111111111111112,1.0,2024.0,2024.0,4.0,1.4285714285714286,5.444444444444445,4.428571428571429,1.6111111111111112,1.0,2024.0,2024.0,8.0,2.0,9.0,6.0,32.0,6.0,3.0,1.0
2024-11-03,3.75,3.69875,1850.0,2024.0,1.875,11.0,1.0,2024.0,1.875,7.25,1.0,2024,3,11,Monday,11,1,False,3.4444444444444446,3.555555555555556,4.266666666666667,3.758888888888889,2020.3333333333333,2247.1666666666665,2024.0,2024.0,2.888888888888889,6.611111111111111,10.0,6.0,1.4444444444444444,2.4444444444444446,2024.0,2024.0,2.888888888888889,6.388888888888889,7.555555555555555,9.5,1.4444444444444444,2.2777777777777777,2024.0,2024.0,6.0,9.0,10.0,6.0,24.0,36.0,2.0,3.0
2024-11-10,3.0,4.025714285714286,3076.0714285714284,2024.0,6.857142857142857,11.0,2.5,2024.0,6.857142857142857,8.285714285714286,2.5,2024,10,11,Friday,41,4,False,3.75,4.055555555555555,3.69875,3.889444444444445,1850.0,2509.777777777778,2024.0,2024.0,1.875,3.2222222222222223,11.0,7.0,1.0,1.4444444444444444,2024.0,2024.0,1.875,3.0,7.25,10.444444444444445,1.0,1.3888888888888888,2024.0,2024.0,3.0,7.0,11.0,7.0,11.0,27.0,1.0,3.0
2024-12-01,3.5,4.9,2398.0,2024.0,1.0,12.0,1.0,2024.0,1.0,8.5,1.0,2024,1,12,Friday,2,1,False,3.0,4.8,4.025714285714286,4.01,3076.0714285714284,3595.3,2024.0,2024.0,6.857142857142857,2.7,11.0,8.0,2.5,1.2,2024.0,2024.0,6.857142857142857,2.7,8.285714285714286,3.4,2.5,1.2,2024.0,2024.0,10.0,4.0,11.0,8.0,41.0,15.0,4.0,2.0
2024-12-08,3.5,4.031428571428571,2980.428571428572,2024.0,4.928571428571429,12.0,1.9285714285714288,2024.0,4.928571428571429,8.5,1.9285714285714288,2024,8,12,Monday,33,3,False,3.5,3.869565217391304,4.9,3.981739130434783,2398.0,2399.391304347826,2024.0,2024.0,1.0,9.521739130434783,12.0,8.0,1.0,3.5217391304347827,2024.0,2024.0,1.0,9.521739130434783,8.5,4.521739130434782,1.0,3.5217391304347827,2024.0,2024.0,1.0,11.0,12.0,8.0,2.0,45.0,1.0,4.0
