date,opening_stock,received_stock,closing_stock,reorder_level,lead_time_days,date_year,date_month,date_day,date_quarter
2024-01-07,583.9782608695652,130.1086956521739,525.804347826087,150.0,6.434782608695652,2024.0,3.9130434782608696,1.0,1.6956521739130435
2024-01-14,620.6451612903226,163.38709677419354,462.06451612903226,150.0,5.903225806451613,2024.0,10.064516129032258,1.0,3.6129032258064515
2024-01-21,621.1367741935484,161.64473118279568,464.6563440860215,150.0,6.162150537634409,2024.0,7.563010752688172,1.3333333333333333,2.835268817204301
2024-01-28,621.6283870967742,159.90236559139785,467.24817204301075,150.0,6.421075268817204,2024.0,5.061505376344086,1.6666666666666665,2.0576344086021505
2024-02-04,622.12,158.16,469.84,150.0,6.68,2024.0,2.56,2.0,1.28
2024-02-11,659.1333333333333,171.06666666666666,618.3333333333334,150.0,6.377777777777778,2024.0,7.955555555555556,2.0,3.0
2024-02-18,581.8333333333334,175.16666666666666,538.5,150.0,4.333333333333333,2024.0,12.0,2.0,4.0
2024-02-25,577.311403508772,160.47807017543857,575.6184210526316,150.0,5.035087719298245,2024.0,7.0,2.5,2.5
2024-03-03,572.7894736842105,145.78947368421052,612.7368421052631,150.0,5.7368421052631575,2024.0,2.0,3.0,1.0
2024-03-10,586.2142857142857,154.8095238095238,611.1190476190476,150.0,5.285714285714286,2024.0,7.0,3.0,2.7142857142857144
2024-03-17,587.5833333333334,98.25,477.75,150.0,5.833333333333333,2024.0,11.5,3.0,4.0
2024-03-24,570.1666666666667,108.46296296296296,506.35185185185185,150.0,6.014814814814815,2024.0,8.933333333333334,3.3333333333333335,3.2222222222222223
2024-03-31,552.75,118.67592592592592,534.9537037037037,150.0,6.196296296296296,2024.0,6.366666666666666,3.6666666666666665,2.4444444444444446
2024-04-07,535.3333333333334,128.88888888888889,563.5555555555555,150.0,6.377777777777778,2024.0,3.8,4.0,1.6666666666666667
2024-04-14,562.875,139.0625,617.375,150.0,6.8125,2024.0,10.0625,4.0,3.625
2024-04-21,568.3409090909091,144.79924242424244,616.1691919191919,150.0,6.460858585858586,2024.0,7.678030303030303,4.333333333333333,2.871212121212121
2024-04-28,573.8068181818181,150.53598484848484,614.9633838383838,150.0,6.109217171717172,2024.0,5.293560606060606,4.666666666666667,2.117424242424242
2024-05-05,579.2727272727273,156.27272727272728,613.7575757575758,150.0,5.757575757575758,2024.0,2.909090909090909,5.0,1.3636363636363635
2024-05-12,579.6444444444444,145.37777777777777,592.3777777777777,150.0,7.0,2024.0,9.066666666666666,5.0,3.2888888888888888
2024-05-19,599.9424501424501,140.8928774928775,560.7646723646724,150.0,6.538461538461538,2024.0,6.5316239316239315,5.333333333333333,2.5259259259259257
2024-05-26,620.2404558404559,136.4079772079772,529.1515669515669,150.0,6.076923076923077,2024.0,3.9965811965811966,5.666666666666667,1.7629629629629628
2024-06-02,640.5384615384615,131.92307692307693,497.53846153846155,150.0,5.615384615384615,2024.0,1.4615384615384615,6.0,1.0
