date,order_id,units_sold,unit_price,revenue,date_year,date_month,date_day,date_quarter
2024-01-07,552.8636363636364,30.772727272727273,15843.454545454546,540381.6818181818,2024.0,4.0227272727272725,1.0,1.7272727272727273
2024-01-14,1630.258064516129,48.903225806451616,16138.709677419354,810284.2903225806,2024.0,9.96774193548387,1.0,3.5806451612903225
2024-01-21,1181.625376344086,42.44215053763441,16105.006451612902,638333.6602150537,2024.0,7.48516129032258,1.3333333333333333,2.8004301075268816
2024-01-28,732.9926881720429,35.98107526881721,16071.303225806452,466383.03010752687,2024.0,5.00258064516129,1.6666666666666665,2.0202150537634407
2024-02-04,284.36,29.52,16037.6,294432.4,2024.0,2.52,2.0,1.24
2024-02-11,1303.7954545454545,43.70454545454545,17249.886363636364,887391.2045454546,2024.0,8.090909090909092,2.0,3.022727272727273
2024-02-18,2019.5,28.333333333333332,16560.0,341636.6666666667,2024.0,12.0,2.0,4.0
2024-02-25,1125.925,27.016666666666666,15945.1,333578.48333333334,2024.0,7.0,2.5,2.5
2024-03-03,232.35,25.7,15330.2,325520.3,2024.0,2.0,3.0,1.0
2024-03-10,1096.8181818181818,25.386363636363637,17852.727272727272,460691.5909090909,2024.0,6.863636363636363,3.0,2.6818181818181817
2024-03-17,1935.5,30.166666666666668,16560.0,352795.0,2024.0,11.5,3.0,4.0
2024-03-24,1471.4,28.474074074074075,16452.074074074073,378242.74074074073,2024.0,8.955555555555556,3.3333333333333335,3.2222222222222223
2024-03-31,1007.3000000000001,26.78148148148148,16344.148148148148,403690.4814814815,2024.0,6.411111111111111,3.6666666666666665,2.4444444444444446
2024-04-07,543.2,25.08888888888889,16236.222222222223,429138.22222222225,2024.0,3.8666666666666667,4.0,1.6666666666666667
2024-04-14,1666.7,26.466666666666665,16560.0,427362.6666666667,2024.0,10.0,4.0,3.6
2024-04-21,1248.880808080808,25.674747474747473,16412.484848484848,375547.9494949495,2024.0,7.646464646464647,4.333333333333333,2.864646464646465
2024-04-28,831.0616161616161,24.88282828282828,16264.969696969698,323733.23232323234,2024.0,5.292929292929293,4.666666666666667,2.1292929292929292
2024-05-05,413.24242424242425,24.09090909090909,16117.454545454546,271918.51515151514,2024.0,2.9393939393939394,5.0,1.393939393939394
2024-05-12,1501.2727272727273,21.09090909090909,15888.34090909091,343722.2727272727,2024.0,9.068181818181818,5.0,3.3181818181818183
2024-05-19,1067.3869463869464,23.983682983682982,16456.84265734266,415676.89976689976,2024.0,6.532634032634032,5.333333333333333,2.5454545454545454
2024-05-26,633.5011655011655,26.876456876456878,17025.344405594406,487631.5268065268,2024.0,3.997086247086247,5.666666666666667,1.7727272727272727
