delivery_date,delay_days,supplier_rating,transportation_cost,delivery_date_year,delivery_date_month,delivery_date_day,delivery_date_quarter,expected_date_year,expected_date_month,expected_date_day,expected_date_quarter
2024-01-07,3.0588235294117645,4.235294117647059,2960.705882352941,2024.0,4.588235294117647,1.0,1.8823529411764706,2024.0,3.9411764705882355,17.705882352941178,1.7058823529411764
2024-01-14,3.6666666666666665,3.933333333333333,3404.777777777778,2024.0,10.38888888888889,1.0,3.7222222222222223,2024.0,9.722222222222221,18.22222222222222,3.5555555555555554
2024-01-21,3.7222222222222223,3.819444444444444,3356.6296296296296,2024.0,7.814814814814815,1.3333333333333333,2.814814814814815,2024.0,7.148148148148147,18.203703703703702,2.7037037037037037
2024-01-28,3.7777777777777777,3.7055555555555557,3308.4814814814818,2024.0,5.2407407407407405,1.6666666666666665,1.9074074074074074,2024.0,4.5740740740740735,18.185185185185187,1.8518518518518519
2024-02-04,3.8333333333333335,3.591666666666667,3260.3333333333335,2024.0,2.6666666666666665,2.0,1.0,2024.0,2.0,18.166666666666668,1.0
2024-02-11,3.2,3.9793333333333334,2428.4666666666667,2024.0,9.466666666666667,2.0,3.6,2024.0,8.933333333333334,15.666666666666666,3.4
2024-02-18,3.0,4.8,540.0,2024.0,12.0,2.0,4.0,2024.0,12.0,2.0,4.0
2024-02-25,2.3333333333333335,4.363333333333333,1856.1666666666667,2024.0,6.833333333333333,2.5,2.5,2024.0,6.75,4.25,2.5
2024-03-03,1.6666666666666667,3.9266666666666663,3172.3333333333335,2024.0,1.6666666666666667,3.0,1.0,2024.0,1.5,6.5,1.0
2024-03-10,2.090909090909091,3.8790909090909094,2257.681818181818,2024.0,6.181818181818182,3.0,2.409090909090909,2024.0,5.818181818181818,11.954545454545455,2.1818181818181817
2024-03-17,2.1885521885521886,3.932281144781145,2422.8354377104374,2024.0,5.5993265993265995,3.25,2.242003367003367,2024.0,5.271043771043772,11.067760942760943,2.025252525252525
2024-03-24,2.2861952861952863,3.985471380471381,2587.989057239057,2024.0,5.016835016835016,3.5,2.074915824915825,2024.0,4.723905723905724,10.18097643097643,1.8686868686868685
2024-03-31,2.3838383838383836,4.038661616161616,2753.1426767676767,2024.0,4.434343434343434,3.75,1.9078282828282829,2024.0,4.1767676767676765,9.294191919191919,1.7121212121212122
2024-04-07,2.4814814814814814,4.091851851851852,2918.296296296296,2024.0,3.8518518518518516,4.0,1.7407407407407407,2024.0,3.6296296296296298,8.407407407407407,1.5555555555555556
2024-04-14,5.083333333333333,3.591666666666667,2378.4166666666665,2024.0,10.416666666666666,4.0,3.75,2024.0,9.666666666666666,21.916666666666668,3.5
2024-04-21,4.414529914529915,3.6657264957264957,2472.2264957264956,2024.0,7.7393162393162385,4.333333333333333,2.858974358974359,2024.0,7.136752136752136,18.354700854700855,2.692307692307692
2024-04-28,3.7457264957264957,3.739786324786325,2566.0363247863247,2024.0,5.061965811965812,4.666666666666667,1.9679487179487178,2024.0,4.6068376068376065,14.792735042735043,1.8846153846153844
2024-05-05,3.076923076923077,3.813846153846154,2659.846153846154,2024.0,2.3846153846153846,5.0,1.0769230769230769,2024.0,2.076923076923077,11.23076923076923,1.0769230769230769
2024-05-12,3.6666666666666665,4.2,2738.133333333333,2024.0,9.2,5.0,3.466666666666667,2024.0,8.6,19.4,3.2666666666666666
2024-05-19,3.206349206349206,4.146190476190476,2739.51746031746,2024.0,6.609523809523809,5.333333333333333,2.6444444444444444,2024.0,6.209523809523809,14.409523809523808,2.511111111111111
