date,order_id,units_sold,unit_price,revenue,date_year,date_month,date_day,date_quarter,year,month,day,weekday,week,quarter,is_weekend,order_id_lag1,order_id_lag7,units_sold_lag1,units_sold_lag7,unit_price_lag1,unit_price_lag7,revenue_lag1,revenue_lag7,date_year_lag1,date_year_lag7,date_month_lag1,date_month_lag7,date_day_lag1,date_day_lag7,date_quarter_lag1,date_quarter_lag7,year_lag1,year_lag7,month_lag1,month_lag7,day_lag1,day_lag7,week_lag1,week_lag7,quarter_lag1,quarter_lag7
2024-01-07,552.8636363636364,30.77272727272728,15843.454545454546,540381.6818181818,2024.0,4.0227272727272725,1.0,1.7272727272727273,2024,7,1,Monday,27,3,False,552.8636363636364,552.8636363636364,30.77272727272728,30.77272727272728,15843.454545454546,15843.454545454546,540381.6818181818,540381.6818181818,2024.0,2024.0,4.0227272727272725,4.0227272727272725,1.0,1.0,1.7272727272727273,1.7272727272727273,2024.0,2024.0,7.0,7.0,1.0,1.0,27.0,27.0,3.0,3.0
2024-02-04,284.36,29.52,16037.6,294432.4,2024.0,2.52,2.0,1.24,2024,4,2,Tuesday,14,2,False,552.8636363636364,552.8636363636364,30.77272727272728,30.77272727272728,15843.454545454546,15843.454545454546,540381.6818181818,540381.6818181818,2024.0,2024.0,4.0227272727272725,4.0227272727272725,1.0,1.0,1.7272727272727273,1.7272727272727273,2024.0,2024.0,7.0,7.0,1.0,1.0,27.0,27.0,3.0,3.0
2024-02-11,1303.7954545454545,43.70454545454545,17249.886363636364,887391.2045454546,2024.0,8.090909090909092,2.0,3.022727272727273,2024,11,2,Saturday,44,4,True,284.36,552.8636363636364,29.52,30.77272727272728,16037.6,15843.454545454546,294432.4,540381.6818181818,2024.0,2024.0,2.52,4.0227272727272725,2.0,1.0,1.24,1.7272727272727273,2024.0,2024.0,4.0,7.0,2.0,1.0,14.0,27.0,2.0,3.0
2024-03-03,232.35,25.7,15330.2,325520.3,2024.0,2.0,3.0,1.0,2024,3,3,Sunday,9,1,True,1303.7954545454545,552.8636363636364,43.70454545454545,30.77272727272728,17249.886363636364,15843.454545454546,887391.2045454546,540381.6818181818,2024.0,2024.0,8.090909090909092,4.0227272727272725,2.0,1.0,3.022727272727273,1.7272727272727273,2024.0,2024.0,11.0,7.0,2.0,1.0,44.0,27.0,4.0,3.0
2024-03-10,1096.8181818181818,25.38636363636364,17852.727272727272,460691.5909090909,2024.0,6.863636363636363,3.0,2.6818181818181817,2024,10,3,Thursday,40,4,False,232.35,552.8636363636364,25.7,30.77272727272728,15330.2,15843.454545454546,325520.3,540381.6818181818,2024.0,2024.0,2.0,4.0227272727272725,3.0,1.0,1.0,1.7272727272727273,2024.0,2024.0,3.0,7.0,3.0,1.0,9.0,27.0,1.0,3.0
2024-04-07,543.2,25.08888888888889,16236.222222222224,429138.2222222223,2024.0,3.866666666666666,4.0,1.6666666666666667,2024,7,4,Thursday,27,3,False,1096.8181818181818,552.8636363636364,25.38636363636364,30.77272727272728,17852.727272727272,15843.454545454546,460691.5909090909,540381.6818181818,2024.0,2024.0,6.863636363636363,4.0227272727272725,3.0,1.0,2.6818181818181817,1.7272727272727273,2024.0,2024.0,10.0,7.0,3.0,1.0,40.0,27.0,4.0,3.0
2024-05-05,413.24242424242425,24.09090909090909,16117.454545454546,271918.51515151514,2024.0,2.9393939393939394,5.0,1.393939393939394,2024,5,5,Sunday,18,2,True,543.2,552.8636363636364,25.08888888888889,30.77272727272728,16236.222222222224,15843.454545454546,429138.2222222223,540381.6818181818,2024.0,2024.0,3.866666666666666,4.0227272727272725,4.0,1.0,1.6666666666666667,1.7272727272727273,2024.0,2024.0,7.0,7.0,4.0,1.0,27.0,27.0,3.0,3.0
2024-05-12,1501.2727272727273,21.09090909090909,15888.34090909091,343722.2727272727,2024.0,9.068181818181818,5.0,3.3181818181818183,2024,12,5,Thursday,49,4,False,413.24242424242425,552.8636363636364,24.09090909090909,30.77272727272728,16117.454545454546,15843.454545454546,271918.51515151514,540381.6818181818,2024.0,2024.0,2.9393939393939394,4.0227272727272725,5.0,1.0,1.393939393939394,1.7272727272727273,2024.0,2024.0,5.0,7.0,5.0,1.0,18.0,27.0,2.0,3.0
2024-06-02,199.6153846153846,29.76923076923077,17593.846153846152,559586.1538461539,2024.0,1.4615384615384617,6.0,1.0,2024,2,6,Tuesday,6,1,False,1501.2727272727273,284.36,21.09090909090909,29.52,15888.34090909091,16037.6,343722.2727272727,294432.4,2024.0,2024.0,9.068181818181818,2.52,5.0,2.0,3.3181818181818183,1.24,2024.0,2024.0,12.0,4.0,5.0,2.0,49.0,14.0,4.0,2.0
2024-06-09,936.1590909090908,26.045454545454547,17283.340909090908,581433.6363636364,2024.0,5.954545454545454,6.0,2.272727272727273,2024,9,6,Friday,36,3,False,199.6153846153846,1303.7954545454545,29.76923076923077,43.70454545454545,17593.846153846152,17249.886363636364,559586.1538461539,887391.2045454546,2024.0,2024.0,1.4615384615384617,8.090909090909092,6.0,2.0,1.0,3.022727272727273,2024.0,2024.0,2.0,11.0,6.0,2.0,6.0,44.0,1.0,4.0
2024-07-07,581.1627906976744,25.069767441860463,16291.162790697674,320290.88372093026,2024.0,3.976744186046512,7.0,1.697674418604651,2024,7,7,Sunday,27,3,True,936.1590909090908,232.35,26.045454545454547,25.7,17283.340909090908,15330.2,581433.6363636364,325520.3,2024.0,2024.0,5.954545454545454,2.0,6.0,3.0,2.272727272727273,1.0,2024.0,2024.0,9.0,3.0,6.0,3.0,36.0,9.0,3.0,1.0
2024-08-04,318.5,30.08333333333333,16560.0,544136.6666666666,2024.0,2.5,8.0,1.25,2024,4,8,Monday,15,2,False,581.1627906976744,1096.8181818181818,25.069767441860463,25.38636363636364,16291.162790697674,17852.727272727272,320290.88372093026,460691.5909090909,2024.0,2024.0,3.976744186046512,6.863636363636363,7.0,3.0,1.697674418604651,2.6818181818181817,2024.0,2024.0,7.0,10.0,7.0,3.0,27.0,40.0,3.0,4.0
2024-08-11,1308.5777777777778,23.88888888888889,18123.666666666668,432573.8,2024.0,8.0,8.0,3.0,2024,11,8,Friday,45,4,False,318.5,543.2,30.08333333333333,25.08888888888889,16560.0,16236.222222222224,544136.6666666666,429138.2222222223,2024.0,2024.0,2.5,3.866666666666666,8.0,4.0,1.25,1.6666666666666667,2024.0,2024.0,4.0,7.0,8.0,4.0,15.0,27.0,2.0,3.0
2024-09-01,51.5,16.166666666666668,16560.0,300493.3333333333,2024.0,1.0,9.0,1.0,2024,1,9,Tuesday,2,1,False,1308.5777777777778,413.24242424242425,23.88888888888889,24.09090909090909,18123.666666666668,16117.454545454546,432573.8,271918.51515151514,2024.0,2024.0,8.0,2.9393939393939394,8.0,5.0,3.0,1.393939393939394,2024.0,2024.0,11.0,5.0,8.0,5.0,45.0,18.0,4.0,2.0
2024-09-08,783.4090909090909,28.40909090909091,17170.909090909092,488787.2727272727,2024.0,5.0227272727272725,9.0,2.0,2024,8,9,Friday,32,3,False,51.5,1501.2727272727273,16.166666666666668,21.09090909090909,16560.0,15888.34090909091,300493.3333333333,343722.2727272727,2024.0,2024.0,1.0,9.068181818181818,9.0,5.0,1.0,3.3181818181818183,2024.0,2024.0,1.0,12.0,9.0,5.0,2.0,49.0,1.0,4.0
2024-10-06,508.2631578947368,23.94736842105263,16570.0,534105.2631578947,2024.0,3.473684210526316,10.0,1.5,2024,6,10,Monday,24,2,False,783.4090909090909,199.6153846153846,28.40909090909091,29.76923076923077,17170.909090909092,17593.846153846152,488787.2727272727,559586.1538461539,2024.0,2024.0,5.0227272727272725,1.4615384615384617,9.0,6.0,2.0,1.0,2024.0,2024.0,8.0,2.0,9.0,6.0,32.0,6.0,3.0,1.0
