date,opening_stock,received_stock,closing_stock,reorder_level,lead_time_days,date_year,date_month,date_day,date_quarter,year,month,day,weekday,week,quarter,is_weekend,opening_stock_lag1,opening_stock_lag7,received_stock_lag1,received_stock_lag7,closing_stock_lag1,closing_stock_lag7,reorder_level_lag1,reorder_level_lag7,lead_time_days_lag1,lead_time_days_lag7,date_year_lag1,date_year_lag7,date_month_lag1,date_month_lag7,date_day_lag1,date_day_lag7,date_quarter_lag1,date_quarter_lag7,year_lag1,year_lag7,month_lag1,month_lag7,day_lag1,day_lag7,week_lag1,week_lag7,quarter_lag1,quarter_lag7
2024-01-07,583.9782608695652,130.1086956521739,525.804347826087,150.0,6.434782608695652,2024.0,3.9130434782608696,1.0,1.6956521739130437,2024,7,1,Monday,27,3,False,583.9782608695652,583.9782608695652,130.1086956521739,130.1086956521739,525.804347826087,525.804347826087,150.0,150.0,6.434782608695652,6.434782608695652,2024.0,2024.0,3.9130434782608696,3.9130434782608696,1.0,1.0,1.6956521739130437,1.6956521739130437,2024.0,2024.0,7.0,7.0,1.0,1.0,27.0,27.0,3.0,3.0
2024-02-04,622.12,158.16,469.84,150.0,6.68,2024.0,2.56,2.0,1.28,2024,4,2,Tuesday,14,2,False,583.9782608695652,583.9782608695652,130.1086956521739,130.1086956521739,525.804347826087,525.804347826087,150.0,150.0,6.434782608695652,6.434782608695652,2024.0,2024.0,3.9130434782608696,3.9130434782608696,1.0,1.0,1.6956521739130437,1.6956521739130437,2024.0,2024.0,7.0,7.0,1.0,1.0,27.0,27.0,3.0,3.0
2024-02-11,659.1333333333333,171.06666666666666,618.3333333333334,150.0,6.377777777777778,2024.0,7.955555555555556,2.0,3.0,2024,11,2,Saturday,44,4,True,622.12,583.9782608695652,158.16,130.1086956521739,469.84,525.804347826087,150.0,150.0,6.68,6.434782608695652,2024.0,2024.0,2.56,3.9130434782608696,2.0,1.0,1.28,1.6956521739130437,2024.0,2024.0,4.0,7.0,2.0,1.0,14.0,27.0,2.0,3.0
2024-03-03,572.7894736842105,145.78947368421052,612.7368421052631,150.0,5.7368421052631575,2024.0,2.0,3.0,1.0,2024,3,3,Sunday,9,1,True,659.1333333333333,583.9782608695652,171.06666666666666,130.1086956521739,618.3333333333334,525.804347826087,150.0,150.0,6.377777777777778,6.434782608695652,2024.0,2024.0,7.955555555555556,3.9130434782608696,2.0,1.0,3.0,1.6956521739130437,2024.0,2024.0,11.0,7.0,2.0,1.0,44.0,27.0,4.0,3.0
2024-03-10,586.2142857142857,154.8095238095238,611.1190476190476,150.0,5.285714285714286,2024.0,7.0,3.0,2.7142857142857144,2024,10,3,Thursday,40,4,False,572.7894736842105,583.9782608695652,145.78947368421052,130.1086956521739,612.7368421052631,525.804347826087,150.0,150.0,5.7368421052631575,6.434782608695652,2024.0,2024.0,2.0,3.9130434782608696,3.0,1.0,1.0,1.6956521739130437,2024.0,2024.0,3.0,7.0,3.0,1.0,9.0,27.0,1.0,3.0
2024-04-07,535.3333333333334,128.88888888888889,563.5555555555555,150.0,6.377777777777778,2024.0,3.8,4.0,1.6666666666666667,2024,7,4,Thursday,27,3,False,586.2142857142857,583.9782608695652,154.8095238095238,130.1086956521739,611.1190476190476,525.804347826087,150.0,150.0,5.285714285714286,6.434782608695652,2024.0,2024.0,7.0,3.9130434782608696,3.0,1.0,2.7142857142857144,1.6956521739130437,2024.0,2024.0,10.0,7.0,3.0,1.0,40.0,27.0,4.0,3.0
2024-05-05,579.2727272727273,156.27272727272728,613.7575757575758,150.0,5.757575757575758,2024.0,2.909090909090909,5.0,1.3636363636363635,2024,5,5,Sunday,18,2,True,535.3333333333334,583.9782608695652,128.88888888888889,130.1086956521739,563.5555555555555,525.804347826087,150.0,150.0,6.377777777777778,6.434782608695652,2024.0,2024.0,3.8,3.9130434782608696,4.0,1.0,1.6666666666666667,1.6956521739130437,2024.0,2024.0,7.0,7.0,4.0,1.0,27.0,27.0,3.0,3.0
2024-05-12,579.6444444444444,145.37777777777777,592.3777777777777,150.0,7.0,2024.0,9.066666666666666,5.0,3.2888888888888888,2024,12,5,Thursday,49,4,False,579.2727272727273,583.9782608695652,156.27272727272728,130.1086956521739,613.7575757575758,525.804347826087,150.0,150.0,5.757575757575758,6.434782608695652,2024.0,2024.0,2.909090909090909,3.9130434782608696,5.0,1.0,1.3636363636363635,1.6956521739130437,2024.0,2024.0,5.0,7.0,5.0,1.0,18.0,27.0,2.0,3.0
2024-06-02,640.5384615384615,131.92307692307693,497.5384615384616,150.0,5.615384615384615,2024.0,1.4615384615384617,6.0,1.0,2024,2,6,Tuesday,6,1,False,579.6444444444444,622.12,145.37777777777777,158.16,592.3777777777777,469.84,150.0,150.0,7.0,6.68,2024.0,2024.0,9.066666666666666,2.56,5.0,2.0,3.2888888888888888,1.28,2024.0,2024.0,12.0,4.0,5.0,2.0,49.0,14.0,4.0,2.0
2024-06-09,600.2790697674419,148.48837209302326,596.953488372093,150.0,5.976744186046512,2024.0,6.046511627906977,6.0,2.302325581395349,2024,9,6,Friday,36,3,False,640.5384615384615,659.1333333333333,131.92307692307693,171.06666666666666,497.5384615384616,618.3333333333334,150.0,150.0,5.615384615384615,6.377777777777778,2024.0,2024.0,1.4615384615384617,7.955555555555556,6.0,2.0,1.0,3.0,2024.0,2024.0,2.0,11.0,6.0,2.0,6.0,44.0,1.0,4.0
2024-07-07,597.4897959183673,150.81632653061226,540.5918367346939,150.0,6.163265306122449,2024.0,4.142857142857143,7.0,1.7551020408163265,2024,7,7,Sunday,27,3,True,600.2790697674419,572.7894736842105,148.48837209302326,145.78947368421052,596.953488372093,612.7368421052631,150.0,150.0,5.976744186046512,5.7368421052631575,2024.0,2024.0,6.046511627906977,2.0,6.0,3.0,2.302325581395349,1.0,2024.0,2024.0,9.0,3.0,6.0,3.0,36.0,9.0,3.0,1.0
