date,order_id,units_sold,unit_price,revenue,date_year,date_month,date_day,date_quarter,year,month,day,weekday,week,quarter,is_weekend
2024-07-01,552.8636363636364,30.772727272727277,15843.454545454546,540381.6818181818,2024.0,4.0227272727272725,1.0,1.7272727272727273,2024,7,1,Monday,27,3,False
2024-04-02,284.36,29.52,16037.6,294432.4,2024.0,2.52,2.0,1.24,2024,4,2,Tuesday,14,2,False
2024-11-02,1303.7954545454545,43.70454545454545,17249.886363636364,887391.2045454546,2024.0,8.090909090909092,2.0,3.022727272727273,2024,11,2,Saturday,44,4,True
2024-03-03,232.35,25.7,15330.2,325520.3,2024.0,2.0,3.0,1.0,2024,3,3,Sunday,9,1,True
2024-10-03,1096.8181818181818,25.38636363636364,17852.727272727272,460691.5909090909,2024.0,6.863636363636363,3.0,2.6818181818181817,2024,10,3,Thursday,40,4,False
2024-07-04,543.2,25.08888888888889,16236.222222222224,429138.2222222223,2024.0,3.8666666666666663,4.0,1.6666666666666667,2024,7,4,Thursday,27,3,False
2024-05-05,413.24242424242425,24.09090909090909,16117.454545454546,271918.51515151514,2024.0,2.9393939393939394,5.0,1.393939393939394,2024,5,5,Sunday,18,2,True
2024-12-05,1501.2727272727273,21.09090909090909,15888.34090909091,343722.2727272727,2024.0,9.068181818181818,5.0,3.3181818181818183,2024,12,5,Thursday,49,4,False
2024-02-06,199.6153846153846,29.76923076923077,17593.846153846152,559586.1538461539,2024.0,1.4615384615384617,6.0,1.0,2024,2,6,Tuesday,6,1,False
2024-09-06,936.1590909090908,26.045454545454547,17283.340909090908,581433.6363636364,2024.0,5.954545454545454,6.0,2.272727272727273,2024,9,6,Friday,36,3,False
2024-07-07,581.1627906976744,25.069767441860463,16291.162790697674,320290.88372093026,2024.0,3.976744186046512,7.0,1.697674418604651,2024,7,7,Sunday,27,3,True
2024-04-08,318.5,30.08333333333333,16560.0,544136.6666666666,2024.0,2.5,8.0,1.25,2024,4,8,Monday,15,2,False
2024-11-08,1308.5777777777778,23.88888888888889,18123.666666666668,432573.8,2024.0,8.0,8.0,3.0,2024,11,8,Friday,45,4,False
2024-01-09,51.5,16.166666666666668,16560.0,300493.3333333333,2024.0,1.0,9.0,1.0,2024,1,9,Tuesday,2,1,False
2024-08-09,783.4090909090909,28.40909090909091,17170.909090909092,488787.2727272727,2024.0,5.0227272727272725,9.0,2.0,2024,8,9,Friday,32,3,False
2024-06-10,508.2631578947368,23.94736842105263,16570.0,534105.2631578947,2024.0,3.473684210526316,10.0,1.5,2024,6,10,Monday,24,2,False
2024-03-11,245.5,22.77777777777778,16560.0,479335.5555555556,2024.0,2.0,11.0,1.0,2024,3,11,Monday,11,1,False
2024-10-11,1166.6279069767445,24.13953488372093,16872.837209302324,461005.5813953488,2024.0,7.046511627906977,11.0,2.7209302325581395,2024,10,11,Friday,41,4,False
2024-01-12,69.14285714285714,22.857142857142858,22770.0,283449.71428571426,2024.0,1.0,12.0,1.0,2024,1,12,Friday,2,1,False
2024-08-12,796.1777777777778,28.288888888888888,16867.866666666665,573579.6,2024.0,4.933333333333334,12.0,2.0,2024,8,12,Monday,33,3,False
