date,order_id,units_sold,unit_price,revenue,date_year,date_month,date_day,date_quarter,year,month,day,weekday,week,quarter,is_weekend,order_id_rolling_mean_3,order_id_rolling_mean_7,order_id_rolling_std_3,order_id_rolling_std_7,units_sold_rolling_mean_3,units_sold_rolling_mean_7,units_sold_rolling_std_3,units_sold_rolling_std_7,unit_price_rolling_mean_3,unit_price_rolling_mean_7,unit_price_rolling_std_3,unit_price_rolling_std_7,revenue_rolling_mean_3,revenue_rolling_mean_7,revenue_rolling_std_3,revenue_rolling_std_7,date_year_rolling_mean_3,date_year_rolling_mean_7,date_year_rolling_std_3,date_year_rolling_std_7,date_month_rolling_mean_3,date_month_rolling_mean_7,date_month_rolling_std_3,date_month_rolling_std_7,date_day_rolling_mean_3,date_day_rolling_mean_7,date_day_rolling_std_3,date_day_rolling_std_7,date_quarter_rolling_mean_3,date_quarter_rolling_mean_7,date_quarter_rolling_std_3,date_quarter_rolling_std_7,year_rolling_mean_3,year_rolling_mean_7,year_rolling_std_3,year_rolling_std_7,month_rolling_mean_3,month_rolling_mean_7,month_rolling_std_3,month_rolling_std_7,day_rolling_mean_3,day_rolling_mean_7,day_rolling_std_3,day_rolling_std_7,week_rolling_mean_3,week_rolling_mean_7,week_rolling_std_3,week_rolling_std_7,quarter_rolling_mean_3,quarter_rolling_mean_7,quarter_rolling_std_3,quarter_rolling_std_7
2024-01-07,552.8636363636364,30.77272727272728,15843.454545454546,540381.6818181818,2024.0,4.0227272727272725,1.0,1.7272727272727273,2024,7,1,Monday,27,3,False,552.8636363636364,552.8636363636364,189.86074204597415,189.86074204597415,30.77272727272728,30.77272727272728,0.8858119495227886,0.8858119495227886,15843.454545454546,15843.454545454546,137.28156744563543,137.28156744563543,540381.6818181818,540381.6818181818,173912.40500159757,173912.40500159757,2024.0,2024.0,0.0,0.0,4.0227272727272725,4.0227272727272725,1.062588644819421,1.062588644819421,1.0,1.0,0.7071067811865476,0.7071067811865476,1.7272727272727273,1.7272727272727273,0.34455384974180864,0.34455384974180864,2024.0,2024.0,0.0,0.0,7.0,7.0,2.1213203435596424,2.1213203435596424,1.0,1.0,0.7071067811865476,0.7071067811865476,27.0,27.0,9.192388155425117,9.192388155425117,3.0,3.0,0.7071067811865476,0.7071067811865476
2024-02-04,284.36,29.52,16037.6,294432.4,2024.0,2.52,2.0,1.24,2024,4,2,Tuesday,14,2,False,418.6118181818182,418.6118181818182,189.86074204597415,189.86074204597415,30.14636363636364,30.14636363636364,0.8858119495227886,0.8858119495227886,15940.527272727273,15940.527272727273,137.28156744563543,137.28156744563543,417407.0409090909,417407.0409090909,173912.40500159757,173912.40500159757,2024.0,2024.0,0.0,0.0,3.2713636363636365,3.2713636363636365,1.062588644819421,1.062588644819421,1.5,1.5,0.7071067811865476,0.7071067811865476,1.4836363636363636,1.4836363636363636,0.34455384974180864,0.34455384974180864,2024.0,2024.0,0.0,0.0,5.5,5.5,2.1213203435596424,2.1213203435596424,1.5,1.5,0.7071067811865476,0.7071067811865476,20.5,20.5,9.192388155425117,9.192388155425117,2.5,2.5,0.7071067811865476,0.7071067811865476
2024-02-11,1303.7954545454545,43.70454545454545,17249.886363636364,887391.2045454546,2024.0,8.090909090909092,2.0,3.022727272727273,2024,11,2,Saturday,44,4,True,713.6730303030303,713.6730303030303,528.4003287096259,528.4003287096259,34.665757575757574,34.665757575757574,7.852840004944115,7.852840004944115,16376.980303030303,16376.980303030303,762.1658988450343,762.1658988450343,574068.4287878788,574068.4287878788,297911.2848870347,297911.2848870347,2024.0,2024.0,0.0,0.0,4.877878787878788,4.877878787878788,2.8822248542042725,2.8822248542042725,1.6666666666666667,1.6666666666666667,0.5773502691896257,0.5773502691896257,1.9966666666666668,1.9966666666666668,0.9213896858376722,0.9213896858376722,2024.0,2024.0,0.0,0.0,7.333333333333333,7.333333333333333,3.5118845842842465,3.5118845842842465,1.6666666666666667,1.6666666666666667,0.5773502691896257,0.5773502691896257,28.333333333333332,28.333333333333332,15.044378795195678,15.044378795195678,3.0,3.0,1.0,1.0
2024-03-03,232.35,25.7,15330.2,325520.3,2024.0,2.0,3.0,1.0,2024,3,3,Sunday,9,1,True,606.8351515151514,593.3422727272728,604.1452706303913,494.0201444563269,32.974848484848486,32.42431818181818,9.48645865411025,7.823528593649248,16205.895454545456,16115.285227272729,970.8457414534738,813.1431745257978,502447.9681818182,511931.3965909091,333732.80599633197,273150.9939996893,2024.0,2024.0,0.0,0.0,4.203636363636364,4.158409090909091,3.376502175646976,2.758385999014502,2.3333333333333335,2.0,0.5773502691896257,0.816496580927726,1.7542424242424242,1.7475,1.1050748201487184,0.9023905731757585,2024.0,2024.0,0.0,0.0,6.0,6.25,4.358898943540674,3.593976442141304,2.3333333333333335,2.0,0.5773502691896257,0.816496580927726,22.333333333333332,23.5,18.929694486000912,15.631165450257807,2.3333333333333335,2.5,1.5275252316519468,1.2909944487358056
2024-03-10,1096.8181818181818,25.38636363636364,17852.727272727272,460691.5909090909,2024.0,6.863636363636363,3.0,2.6818181818181817,2024,10,3,Thursday,40,4,False,877.6545454545454,694.0374545454545,568.351445097686,483.4661576092695,31.596969696969698,31.016727272727273,10.48664078655438,7.470760374855586,16810.937878787878,16462.773636363636,1317.305123984686,1048.6383261025098,557867.6984848485,501683.4354545454,293269.714181951,237663.0023363456,2024.0,2024.0,0.0,0.0,5.651515151515151,4.699454545454546,3.2212919400584297,2.677717481193808,2.6666666666666665,2.2,0.5773502691896257,0.8366600265340756,2.234848484848485,1.9343636363636363,1.0829094317926893,0.8861837579715406,2024.0,2024.0,0.0,0.0,8.0,7.0,4.358898943540674,3.5355339059327378,2.6666666666666665,2.2,0.5773502691896257,0.8366600265340756,31.0,26.8,19.157244060668017,15.417522498767433,3.0,2.8,1.7320508075688772,1.3038404810405297
2024-04-07,543.2,25.08888888888889,16236.222222222224,429138.2222222223,2024.0,3.866666666666666,4.0,1.6666666666666667,2024,7,4,Thursday,27,3,False,624.1227272727273,668.8978787878788,437.8786078195078,436.7878318570724,25.391750841750845,30.028754208754208,0.3055911713665897,7.106782191233093,16473.049831649834,16425.015067340068,1277.8307586897488,942.4797761146414,405116.70437710435,489592.5665824916,70714.88146914387,214625.48032353443,2024.0,2024.0,0.0,0.0,4.243434343434343,4.560656565656566,2.453610621332197,2.4190341052677886,3.3333333333333335,2.5,0.5773502691896257,1.0488088481701516,1.7828282828282829,1.8897474747474747,0.8469050950227617,0.8001255736309185,2024.0,2024.0,0.0,0.0,6.666666666666667,7.0,3.5118845842842465,3.1622776601683795,3.3333333333333335,2.5,0.5773502691896257,1.0488088481701516,25.333333333333332,26.833333333333332,15.56705923844749,13.790093062291735,2.6666666666666665,2.8333333333333335,1.5275252316519468,1.1690451944500122
2024-05-05,413.24242424242425,24.09090909090909,16117.454545454546,271918.51515151514,2024.0,2.9393939393939394,5.0,1.393939393939394,2024,5,5,Sunday,18,2,True,684.4202020202019,632.3756709956709,363.0100731113224,410.27240139869946,24.855387205387206,29.18049062049062,0.6785594277461806,6.8648004632987405,16735.468013468013,16381.077849927851,969.395496978199,868.180162085278,387249.44276094274,458496.27352092357,101117.85656505339,212498.4786579731,2024.0,2024.0,0.0,0.0,4.556565656565656,4.3290476190476195,2.051070479835773,2.2917105542408893,4.0,2.857142857142857,0.9999999999999999,1.3451854182690985,1.9141414141414141,1.8189177489177488,0.678668369710348,0.7540681192104846,2024.0,2024.0,0.0,0.0,7.333333333333333,6.714285714285714,2.516611478423583,2.984084768360628,4.0,2.857142857142857,0.9999999999999999,1.3451854182690985,28.333333333333332,25.571428571428573,11.06044001535804,13.023787760058424,3.0,2.7142857142857144,1.0000000000000002,1.1126972805283737
2024-05-12,1501.2727272727273,21.09090909090909,15888.34090909091,343722.2727272727,2024.0,9.068181818181818,5.0,3.3181818181818183,2024,12,5,Thursday,49,4,False,819.2383838383839,767.862683982684,594.2224979686762,521.2330694349282,23.42356902356902,27.797373737373736,2.0808574411457497,7.441638909831619,16080.67255892256,16387.49018759019,176.8333619722855,863.7017050524443,348259.67003367003,430402.0722222222,78708.00501592517,212867.91003327505,2024.0,2024.0,0.0,0.0,5.291414141414141,5.0498268398268396,3.3034738141680173,2.893686391485157,4.666666666666667,3.4285714285714284,0.5773502691896256,1.2724180205607034,2.1262626262626263,2.046190476190476,1.0412005384993273,0.9389298928317173,2024.0,2024.0,0.0,0.0,8.0,7.428571428571429,3.605551275463989,3.59894164336975,4.666666666666667,3.4285714285714284,0.5773502691896256,1.2724180205607034,31.333333333333332,28.714285714285715,15.947831618540913,15.787276371752514,3.0,2.857142857142857,1.0000000000000002,1.2149857925879117
2024-06-02,199.6153846153846,29.76923076923077,17593.846153846152,559586.1538461539,2024.0,1.4615384615384617,6.0,1.0,2024,2,6,Tuesday,6,1,False,704.7101787101788,755.7563103563105,698.063785297805,535.133577386438,24.983682983682982,27.83297813297813,4.4075050431985785,7.451843655414068,16533.213869463867,16609.811066711067,925.650526169261,954.1810950374237,391742.3139083139,468281.17991452996,149725.11764666953,208179.99836497614,2024.0,2024.0,0.0,0.0,4.48970473970474,4.898618048618049,4.033342716898957,3.0701863827808498,5.333333333333333,4.0,0.5773502691896258,1.414213562373095,1.904040404040404,2.011904761904762,1.2404209027248547,0.9768895296689332,2024.0,2024.0,0.0,0.0,6.333333333333333,7.142857142857143,5.131601439446884,3.9761191895520196,5.333333333333333,4.0,0.5773502691896258,1.414213562373095,24.333333333333332,27.571428571428573,22.18858565419016,17.251638983558856,2.3333333333333335,2.7142857142857144,1.5275252316519468,1.3801311186847085
2024-06-09,936.1590909090908,26.045454545454547,17283.340909090908,581433.6363636364,2024.0,5.954545454545454,6.0,2.272727272727273,2024,9,6,Friday,36,3,False,879.0157342657343,703.2368298368298,652.707424371591,488.38131664847583,25.635198135198134,25.310250860250864,4.35368229545109,2.5793850776682197,16921.842657342655,16614.59028749029,908.4039709758523,957.9975251311381,494914.02097902104,424572.95588855585,131390.7785107196,118188.32009216504,2024.0,2024.0,0.0,0.0,5.494755244755244,4.593423243423244,3.824109186013891,2.793698863936168,5.666666666666667,4.571428571428571,0.5773502691896258,1.2724180205607034,2.1969696969696972,1.9047619047619049,1.1609462275448803,0.8842876615266689,2024.0,2024.0,0.0,0.0,7.666666666666667,6.857142857142857,5.131601439446884,3.7161167647860327,5.666666666666667,4.571428571428571,0.5773502691896258,1.2724180205607034,30.333333333333332,26.428571428571427,22.052966542697455,16.215806515631005,2.6666666666666665,2.5714285714285716,1.5275252316519468,1.2724180205607036
